,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
0,Male,No,22.0,No,Healthcare,1.0,Low,4.0,4.0,11.225,2.984,6.87,4.736000000000001,D
1,Female,Yes,38.0,Yes,Engineer,1.0,Average,3.0,4.0,11.437999999999999,3.438,7.093999999999999,3.988,A
2,Female,Yes,67.0,Yes,Engineer,1.0,Low,1.0,6.0,1.147,1.249,0.731,-0.6729999999999999,B
3,Male,Yes,67.0,Yes,Lawyer,0.0,High,2.0,6.0,5.7010000000000005,2.6889999999999996,-0.485,2.905,B
4,Female,Yes,40.0,Yes,Entertainment,1.0,High,6.0,6.0,10.514000000000001,6.075,2.9610000000000003,5.903,A
5,Male,Yes,43.0,No,Artist,0.0,Average,2.0,6.0,10.963,6.6160000000000005,6.053,5.462999999999999,C
6,Male,No,32.0,Yes,Healthcare,1.0,Low,3.0,6.0,19.346,11.167,11.939,5.582999999999999,C
7,Female,No,33.0,Yes,Healthcare,1.0,Low,3.0,6.0,12.939,1.168,7.934,-2.282,D
8,Female,Yes,61.0,Yes,Engineer,0.0,Low,3.0,7.0,17.857,-0.016,3.097,10.005,D
9,Female,Yes,55.0,Yes,Artist,1.0,Average,4.0,6.0,4.837,10.199,12.105,4.7410000000000005,C
11,Male,No,19.0,No,Healthcare,4.0,Low,4.0,4.0,6.084,5.365,6.971,13.068,D
12,Female,No,19.0,No,Executive,0.0,Low,3.0,3.0,11.689,7.593999999999999,2.339,2.5180000000000002,D
13,Male,Yes,70.0,No,Lawyer,1.0,Low,1.0,6.0,7.593999999999999,3.975,5.777,2.048,A
14,Female,Yes,58.0,No,Doctor,0.0,Low,1.0,3.0,-0.312,5.482,3.5669999999999997,2.231,B
15,Female,No,41.0,No,Healthcare,1.0,Low,2.0,1.0,10.695,1.6380000000000001,17.131,4.031000000000001,C
16,Female,No,32.0,No,Homemaker,9.0,Low,5.0,3.0,10.138,2.524,5.5729999999999995,1.314,D
18,Male,Yes,58.0,Yes,Entertainment,1.0,Average,4.0,6.0,2.657,-1.8630000000000002,-3.4819999999999998,5.084,B
19,Female,Yes,79.0,Yes,Artist,0.0,High,1.0,6.0,14.657,16.909000000000002,8.58,2.294,C
20,Male,Yes,49.0,Yes,Homemaker,12.0,Low,1.0,3.0,5.425,5.872999999999999,1.9180000000000001,2.399,A
21,Female,No,18.0,No,Healthcare,3.0,Low,4.0,6.0,8.051,8.924,8.107999999999999,2.682,D
22,Male,Yes,33.0,Yes,Artist,13.0,Low,2.0,3.0,7.896,5.0969999999999995,5.621,-0.165,A
23,Female,No,36.0,Yes,Artist,5.0,Low,2.0,6.0,5.761,-0.115,1.178,7.636,B
25,Male,Yes,56.0,No,Artist,1.0,Average,3.0,6.0,8.503,9.699,9.504,5.581,C
26,Male,No,31.0,No,Healthcare,9.0,Low,8.0,4.0,8.474,5.422999999999999,9.253,6.046,A
27,Male,Yes,49.0,Yes,Artist,1.0,Average,3.0,6.0,12.942,4.515,11.193,13.89,C
28,Male,No,35.0,Yes,Artist,0.0,Low,1.0,6.0,-0.575,1.619,-1.097,3.168,B
29,Female,No,35.0,No,Artist,5.0,Low,4.0,6.0,20.648000000000003,10.290999999999999,13.578,7.761,C
30,Female,Yes,45.0,Yes,Artist,0.0,Low,3.0,6.0,13.345999999999998,1.229,8.607999999999999,10.113,C
31,Female,Yes,42.0,No,Doctor,1.0,Low,2.0,4.0,6.007999999999999,9.089,5.601,2.99,A
