ID,Gender,Ever_Married,Age,Graduated,Profession,Work_Experience,Spending_Score,Family_Size,Shop_Day,Shop_Other,Shop_Dairy,Shop_Household,Shop_Meat,Group
462809,Male,No,22,No,Healthcare,1,Low,4,4,11.225,2.984,6.87,4.736,D
462643,Female,Yes,38,Yes,Engineer,,Average,3,4,11.438,3.438,7.094,3.988,A
466315,Female,Yes,67,Yes,Engineer,,Low,1,6,1.147,1.249,0.731,-0.673,B
461735,Male,Yes,67,Yes,Lawyer,0,High,2,6,5.701,2.689,-0.485,2.905,B
462669,Female,Yes,40,Yes,Entertainment,,High,6,6,10.514,6.075,2.961,5.903,A
461319,Male,Yes,,No,Artist,0,Average,2,6,10.963,6.616,6.053,5.463,C
460156,Male,No,32,Yes,Healthcare,1,Low,3,6,19.346,11.167,11.939,5.583,C
464347,Female,No,33,Yes,Healthcare,,Low,3,6,12.939,1.168,7.934,-2.282,D
465015,Female,Yes,61,Yes,Engineer,0,Low,3,7,17.857,-0.016,3.097,10.005,D
465176,Female,Yes,55,Yes,Artist,1,Average,4,6,4.837,10.199,12.105,4.741,C
464041,Female,No,26,,Engineer,1,Low,3,6,6.284,2.777,6.217,3.875,A
464942,Male,No,19,No,Healthcare,4,Low,4,4,6.084,5.365,6.971,13.068,D
461230,Female,No,19,No,Executive,0,Low,,3,11.689,7.594,2.339,2.518,D
459573,Male,Yes,70,No,Lawyer,,Low,1,6,7.594,3.975,5.777,2.048,A
460849,Female,Yes,58,No,Doctor,0,Low,1,3,-0.312,5.482,3.567,2.231,B
460563,Female,No,41,No,Healthcare,1,Low,2,1,10.695,1.638,17.131,4.031,C
466865,Female,No,32,No,Homemaker,9,Low,5,3,10.138,2.524,5.573,1.314,D
461644,,No,31,No,Healthcare,1,Low,6,6,10.421,1.711,2.826,3.68,B
466772,Male,Yes,58,Yes,Entertainment,1,Average,4,6,2.657,-1.863,-3.482,5.084,B
464291,Female,Yes,79,Yes,Artist,0,High,1,6,14.657,16.909,8.58,2.294,C
466084,Male,Yes,49,Yes,Homemaker,12,Low,1,3,5.425,5.873,1.918,2.399,A
459675,Female,No,18,No,Healthcare,3,Low,4,6,8.051,8.924,8.108,2.682,D
465602,Male,Yes,33,Yes,Artist,13,Low,2,3,7.896,5.097,5.621,-0.165,A
459168,Female,No,36,Yes,Artist,5,Low,2,6,5.761,-0.115,1.178,7.636,B
461021,Female,,58,No,Executive,1,Average,3,3,1.446,-0.553,-4.131,0.573,B
465083,Male,Yes,56,No,Artist,1,Average,3,6,8.503,9.699,9.504,5.581,C
467604,Male,No,31,No,Healthcare,9,Low,8,4,8.474,5.423,9.253,6.046,A
459717,Male,Yes,49,Yes,Artist,1,Average,3,6,12.942,4.515,11.193,13.89,C
465882,Male,No,35,Yes,Artist,0,Low,1,6,-0.575,1.619,-1.097,3.168,B
461996,Female,No,35,No,Artist,5,Low,4,6,20.648,10.291,13.578,7.761,C
463331,Female,Yes,45,Yes,Artist,0,Low,3,6,13.346,1.229,8.608,10.113,C
462216,Female,Yes,42,No,Doctor,1,Low,2,4,6.008,9.089,5.601,2.99,A
462454,Male,No,19,No,Healthcare,1,Low,3,2,-0.908,1.804,9.454,8.877,D
467010,Male,No,26,No,Homemaker,9,Low,,6,7.212,6.899,5.455,5.703,D
459861,Female,,83,No,Lawyer,1,High,2,6,6.031,3.639,6.867,4.156,D
467917,Female,No,27,Yes,Healthcare,3,Low,4,1,8.351,9.551,2.622,10.891,D
465572,Male,No,32,No,Doctor,5,Low,1,4,8.689,4.019,7.628,1.148,D
460593,Female,Yes,28,No,Healthcare,1,Average,5,3,7.707,2.855,7.809,3.727,D
465891,Female,Yes,28,Yes,Artist,8,Low,2,6,4.93,2.14,6.506,6.204,A
467442,Male,Yes,56,Yes,Artist,,Average,2,6,12.518,,3.728,7.523,C
462044,Female,No,47,Yes,Artist,4,Low,1,6,4.518,2.471,-0.496,2.944,B
465686,Female,No,22,No,Healthcare,0,Low,2,6,10.895,10.668,9.072,-0.45,D
464590,Female,No,27,Yes,Artist,14,Low,3,6,6.629,3.495,2.368,2.259,A
466006,Female,Yes,49,Yes,Artist,1,Low,2,0,12.018,2.489,15.511,4.687,C
466152,Male,Yes,40,No,Engineer,8,Low,1,6,5.758,2.281,7.683,3.956,A
463156,Female,Yes,79,No,Lawyer,,High,2,6,2.798,5.37,2.385,-0.148,A
465729,Male,Yes,41,Yes,Artist,0,Average,4,4,2.585,3.972,3.605,2.185,B
462384,Female,No,29,Yes,Healthcare,,Low,1,7,5.748,1.06,4.924,2.167,A
462442,Male,No,19,No,Healthcare,0,Low,4,6,12.274,-4.841,8.24,2.885,D
464191,Female,No,45,Yes,Engineer,1,Low,1,6,,5.11,5.506,1.239,A
462078,Female,Yes,61,No,Artist,1,Average,2,2,-1.442,-0.146,2.102,-0.684,B
467873,Female,Yes,36,Yes,Artist,1,Average,2,6,19.754,18.425,10.135,10.774,C
461270,Male,Yes,40,,Artist,1,Low,1,3,3.206,3.106,3.107,1.294,A
462960,Female,Yes,57,Yes,Entertainment,0,Average,2,6,15.903,7.546,16.953,2.783,C
464961,Male,Yes,76,,Marketing,1,Low,1,4,5.413,5.991,6.864,2.625,A
462110,Male,Yes,32,Yes,Artist,,Average,2,6,4.093,-1.468,-0.067,1.141,B
465769,Male,No,25,Yes,Healthcare,9,Low,4,6,6.521,10.315,7.421,11.157,D
462267,Male,No,32,,Doctor,8,Low,2,6,14.838,6.125,7.117,1.912,D
465269,Female,Yes,45,Yes,Artist,,Average,3,3,,8.073,9.509,3.668,C
460881,Male,Yes,72,Yes,Lawyer,1,Low,,4,5.637,1.473,7.953,-1.107,D
461891,Male,Yes,48,Yes,Artist,0,Average,2,6,7.376,6.484,10.26,2.748,C
466935,Male,Yes,55,Yes,Artist,9,Average,2,1,9.138,10.941,10.307,5.363,C
464091,Male,Yes,74,Yes,Lawyer,0,High,3,6,13.062,6.04,12.679,11.808,D
464535,Male,Yes,56,Yes,Lawyer,1,High,2,6,8.468,2.233,3.016,7.564,A
463108,Male,Yes,59,Yes,Lawyer,7,High,2,6,8.024,8.226,3.855,4.657,A
461356,Male,No,25,Yes,Entertainment,0,Low,2,6,11.298,8.623,3.652,-0.553,A
464570,Male,Yes,31,Yes,Doctor,0,Average,2,6,5.09,3.782,3.462,2.057,A
464580,Male,No,27,No,Artist,8,Low,4,6,5.424,3.005,1.631,1.642,A
465233,Male,Yes,57,Yes,Artist,0,Average,4,6,5.659,0.328,6.756,1.555,B
467208,Female,Yes,39,Yes,Homemaker,,High,2,6,7.171,2.485,3.053,4.446,A
459954,Male,Yes,27,Yes,Healthcare,8,Low,2,6,8.848,2.824,8.682,7.074,D
460219,Female,Yes,51,Yes,Entertainment,8,Average,2,6,5.901,5.477,3.6,3.801,A
460877,Female,Yes,47,No,Artist,0,Average,5,6,2.084,1.851,3.497,1.498,B
460191,Female,No,33,No,Healthcare,8,Low,4,6,17.194,2.986,8.541,6.454,D
463742,Male,Yes,56,Yes,Artist,0,Average,4,6,12.642,3.794,8.077,6.108,C
463691,Female,No,33,No,Homemaker,0,Low,3,6,5.394,-1.479,1.216,4.568,B
463250,Female,No,36,Yes,Doctor,0,Low,2,6,8.736,0.771,7.471,4.992,D
463952,Male,Yes,51,No,Artist,,Low,3,4,6.246,5.973,7.618,-1.751,A
461558,Male,Yes,45,Yes,Engineer,2,Average,2,6,19.369,9.949,2.386,9.257,C
466567,Female,No,49,Yes,,1,Low,1,6,5.463,4.472,13.811,-2.167,D
465379,Male,No,30,No,Healthcare,0,Low,4,6,18.7,14.269,9.713,4.433,C
463814,Female,No,26,No,Healthcare,6,Low,3,5,9.074,3.346,4.786,9.818,D
466938,Male,Yes,63,Yes,Artist,8,Low,1,6,5.468,3.15,3.578,7.02,A
460671,Male,Yes,35,No,Entertainment,8,Average,4,3,4.882,,2.633,-0.832,B
462204,Female,No,19,No,Marketing,1,Low,3,4,8.389,3.348,3.625,3.516,A
461671,Male,No,32,No,Healthcare,7,Low,5,6,2.56,6.883,6.785,3.879,D
459384,Male,Yes,52,Yes,Artist,0,Average,3,6,7.822,4.722,7.88,11.804,C
459905,Female,Yes,36,Yes,Artist,5,Low,2,6,7.809,6.004,3.717,10.109,C
464734,Female,No,42,No,Entertainment,7,Low,3,4,5.71,2.843,8.982,7.15,D
464125,Male,Yes,40,No,Doctor,0,Average,2,3,14.257,2.775,7.721,10.844,D
467434,Male,No,39,Yes,Entertainment,0,Low,3,1,1.897,0.558,-2.408,2.985,B
460956,Female,Yes,47,Yes,Artist,1,Average,4,3,13.945,14.444,6.577,7.617,C
465179,Female,Yes,61,Yes,Artist,1,High,2,6,13.532,3.62,22.532,6.233,C
463338,Male,Yes,32,No,Entertainment,1,Low,2,3,6.273,8.719,9.856,2.587,D
467066,Male,Yes,55,No,Artist,0,Low,1,6,0.559,-0.669,0.787,1.161,B
463845,Male,Yes,58,Yes,Artist,,Average,1,6,9.98,7.296,2.303,6.45,D
459976,Female,No,38,Yes,Artist,0,Low,1,6,8.53,0.72,11.123,1.677,D
461334,Male,Yes,63,Yes,Artist,0,High,2,6,12.55,13.232,13.388,7.183,C
465108,Male,Yes,58,Yes,Doctor,1,Average,2,6,9.505,1.964,10.263,9.503,C
462600,Male,Yes,30,No,Engineer,3,Average,3,4,6.535,4.706,8.762,11.617,D
464144,Male,Yes,60,Yes,Artist,0,Average,4,6,12.325,2.382,10.219,8.793,C
466911,Male,Yes,68,No,Executive,1,High,7,6,3.098,6.867,-0.01,7.705,B
