measure,year,month,sector,size,district,elevation,floors,built,tmp_min,tmp_mean,tmp_max,cost,source
0,2014,9.0,commercial,439.0,3,19.0,5.0,1958.0,21.2,25.8,31.1,3252.46,elec
1,2011,7.0,commercial,301.0,7,12.0,2.0,1920.0,22.7,31.4,36.2,630.96,gas
2,2007,1.0,education,403.0,5,337.0,6.0,1954.0,8.2,15.4,21.1,2631.93,gas
3,2013,11.0,commercial,831.0,8,172.0,2.0,1933.0,13.6,20.1,27.8,934.82,gas
4,2011,8.0,factory,788.0,4,117.0,6.0,1998.0,24.1,29.5,34.2,2904.17,oil
5,2010,8.0,factory,287.0,8,203.0,5.0,1923.0,20.0,,36.3,1400.07,elec
6,2014,6.0,commercial,488.0,2,55.0,5.0,1995.0,25.0,30.6,35.5,,gas
7,2011,2.0,commercial,1105.0,7,117.0,6.0,1966.0,14.2,,24.6,14971.33,oil
8,2008,10.0,commercial,139.0,7,117.0,6.0,1928.0,17.7,22.6,27.8,1879.84,elec
9,2012,9.0,,279.0,6,12.0,18.0,1945.0,20.4,27.3,33.9,6187.1,elec
10,2011,12.0,commercial,975.0,2,12.0,3.0,1994.0,7.5,14.4,19.4,6306.3,elec
11,2008,1.0,office,489.0,2,19.0,18.0,2005.0,9.6,,20.3,,elec
12,2010,2.0,education,1013.0,4,117.0,6.0,1977.0,14.6,19.7,26.5,7290.68,elec
13,2013,10.0,,812.0,7,337.0,3.0,2008.0,17.8,,28.3,3036.38,oil
14,2014,6.0,education,442.0,5,337.0,5.0,1922.0,24.0,30.1,37.8,1979.61,oil
15,2007,6.0,commercial,437.0,1,-7.0,3.0,1960.0,23.2,30.3,40.0,1503.19,oil
16,2005,4.0,office,649.0,3,172.0,9.0,2008.0,20.4,26.3,31.8,7359.66,elec
17,2009,5.0,commercial,317.0,8,51.0,2.0,1976.0,25.6,29.4,36.4,1004.05,elec
18,2005,6.0,commercial,635.0,2,12.0,5.0,2008.0,24.9,30.7,35.7,6023.86,elec
19,2005,2.0,office,1292.0,1,37.0,5.0,1992.0,11.1,20.0,25.6,8682.24,elec
20,2009,8.0,commercial,260.0,4,117.0,4.0,2009.0,23.5,29.1,32.9,1797.87,elec
21,2012,5.0,office,976.0,3,19.0,26.0,2001.0,24.0,29.4,35.5,12469.77,oil
22,2012,5.0,education,420.0,1,12.0,6.0,1925.0,21.9,28.9,35.2,3386.88,elec
23,2011,10.0,commercial,1029.0,5,117.0,4.0,1956.0,17.4,23.2,31.1,6166.69,elec
24,2007,2.0,commercial,437.0,1,-7.0,3.0,1960.0,10.3,19.5,27.7,2111.7,oil
25,2007,11.0,commercial,437.0,1,-7.0,3.0,1960.0,14.9,19.5,26.0,1433.81,gas
26,2006,12.0,residential,686.0,3,172.0,18.0,1950.0,9.2,15.1,21.2,11762.21,elec
27,2006,11.0,education,814.0,1,55.0,5.0,1935.0,12.6,18.8,25.7,4376.06,elec
28,2006,1.0,commercial,657.0,2,19.0,5.0,1972.0,6.3,15.7,23.0,5721.42,oil
29,2006,3.0,education,814.0,1,55.0,5.0,1935.0,15.2,23.5,32.0,4923.07,elec
30,2014,11.0,commercial,831.0,8,172.0,2.0,1933.0,14.3,20.8,28.2,,oil
31,2006,3.0,commercial,260.0,7,337.0,6.0,1929.0,16.4,23.3,28.6,2265.04,oil
32,2008,5.0,education,403.0,5,337.0,6.0,1954.0,21.4,,37.9,1969.03,oil
33,2008,7.0,commercial,312.0,4,172.0,3.0,1959.0,23.9,30.3,39.1,1126.88,oil
34,2005,10.0,education,1862.0,8,19.0,6.0,1945.0,14.7,22.7,30.0,14056.81,oil
35,2010,2.0,education,1862.0,8,19.0,6.0,1945.0,13.4,19.0,25.3,6882.31,gas
36,2006,12.0,education,480.0,4,51.0,2.0,1951.0,7.5,14.4,20.3,1763.71,oil
37,2006,3.0,office,649.0,3,172.0,9.0,2008.0,16.3,22.3,27.0,5887.73,elec
38,2006,11.0,education,545.0,5,19.0,4.0,2002.0,12.6,19.3,24.5,2480.73,gas
39,2008,2.0,office,489.0,2,19.0,18.0,2005.0,13.3,,25.6,9759.66,elec
40,2008,10.0,office,429.0,8,203.0,11.0,1927.0,16.3,22.3,30.9,4716.23,oil
41,2013,4.0,education,403.0,5,337.0,6.0,1954.0,21.3,26.7,33.6,1969.03,oil
42,2006,12.0,residential,594.0,8,337.0,26.0,1994.0,10.3,16.1,20.7,14937.07,elec
43,2005,11.0,commercial,260.0,4,117.0,4.0,2009.0,13.6,20.1,26.8,1687.63,oil
44,2014,9.0,office,657.0,5,203.0,24.0,1999.0,21.2,26.6,33.4,14302.52,gas
45,2011,8.0,commercial,1707.0,4,172.0,6.0,2006.0,20.6,28.7,34.1,10223.56,gas
46,2012,3.0,,225.0,6,19.0,23.0,1946.0,17.3,23.4,28.7,3850.2,gas
47,2009,2.0,office,1292.0,1,37.0,5.0,1992.0,12.9,,25.8,7741.11,oil
48,2007,7.0,residential,258.0,3,51.0,9.0,1962.0,25.0,30.8,38.0,1895.87,elec
49,2012,5.0,office,575.0,4,172.0,14.0,1940.0,23.7,29.7,35.0,10886.82,elec
50,2014,4.0,commercial,575.0,6,19.0,5.0,1979.0,21.2,26.9,34.8,2370.72,gas
51,2008,3.0,commercial,589.0,2,12.0,2.0,1956.0,18.4,24.3,30.4,1349.71,gas
52,2008,1.0,residential,258.0,3,51.0,9.0,1962.0,11.0,15.5,19.5,2524.41,oil
53,2005,9.0,education,585.0,8,12.0,3.0,1924.0,21.8,26.6,32.4,1642.68,oil
54,2013,5.0,office,1296.0,3,12.0,20.0,2008.0,21.2,29.4,36.8,31352.83,elec
55,2005,11.0,commercial,932.0,5,117.0,6.0,1958.0,9.7,19.0,26.4,7181.2,elec
56,2005,6.0,education,599.0,1,337.0,2.0,1946.0,23.6,30.4,37.3,982.67,gas
57,2011,10.0,commercial,547.0,7,203.0,1.0,1979.0,16.1,23.2,30.6,1027.43,oil
58,2013,9.0,,1085.0,5,37.0,7.0,1928.0,18.0,26.6,32.2,7315.08,elec
59,2012,2.0,education,351.0,6,117.0,1.0,1979.0,13.5,18.6,24.8,518.92,elec
60,2014,5.0,commercial,317.0,8,51.0,2.0,1976.0,24.5,29.3,36.2,356.6,gas
61,2010,6.0,education,480.0,4,51.0,2.0,1951.0,27.7,31.4,35.4,642.82,gas
62,2010,2.0,residential,1172.0,8,12.0,2.0,1997.0,13.8,19.3,23.4,2744.34,elec
63,2005,6.0,commercial,599.0,8,337.0,1.0,1948.0,23.4,30.5,38.4,449.22,gas
64,2008,7.0,factory,388.0,2,337.0,1.0,1941.0,26.9,29.7,32.5,430.21,elec
65,2005,3.0,education,429.0,5,37.0,5.0,1994.0,18.5,23.3,30.7,2623.42,elec
66,2014,5.0,residential,464.0,3,12.0,3.0,2001.0,23.9,28.5,,76.9,gas
67,2009,4.0,commercial,139.0,7,117.0,6.0,1928.0,22.1,,32.5,749.25,gas
68,2008,7.0,factory,240.0,3,37.0,5.0,1957.0,23.0,30.9,36.4,821.34,oil
69,2013,9.0,education,911.0,5,172.0,1.0,1986.0,20.9,26.9,33.2,1001.49,oil
70,2005,12.0,commercial,1029.0,5,117.0,4.0,1956.0,7.6,13.8,24.2,4751.68,gas
71,2006,2.0,office,943.0,8,37.0,7.0,1925.0,14.0,20.2,26.7,7215.5,oil
72,2006,7.0,education,647.0,7,51.0,6.0,1995.0,22.4,,36.4,,elec
73,2008,12.0,commercial,657.0,2,19.0,5.0,1972.0,11.1,16.4,25.0,6022.49,oil
74,2008,2.0,commercial,301.0,7,12.0,2.0,,11.2,18.6,24.2,600.92,gas
75,2005,8.0,education,338.0,4,117.0,5.0,2007.0,21.8,29.9,35.6,1320.23,gas
76,2007,6.0,commercial,1869.0,5,117.0,4.0,1987.0,26.6,30.2,35.4,9600.62,elec
77,2010,12.0,,172.0,1,19.0,23.0,1947.0,10.6,15.0,19.8,4991.86,oil
78,2011,6.0,commercial,588.0,2,12.0,4.0,1963.0,25.0,29.5,33.5,3853.89,elec
79,2006,12.0,commercial,372.0,6,55.0,3.0,,4.9,,21.1,1017.12,gas
80,2006,9.0,office,582.0,4,37.0,3.0,1975.0,20.9,27.1,32.1,2361.29,elec
81,2014,12.0,factory,788.0,4,117.0,6.0,1998.0,10.1,15.4,24.4,2308.45,gas
82,2012,5.0,commercial,435.0,6,203.0,6.0,1925.0,20.5,29.2,35.4,3887.86,elec
83,2010,2.0,factory,240.0,3,37.0,5.0,1957.0,13.2,19.8,27.3,997.92,elec
84,2011,1.0,education,351.0,6,117.0,1.0,1979.0,8.2,15.2,20.8,261.14,gas
85,2007,11.0,office,943.0,8,37.0,7.0,,12.0,19.6,28.0,8422.63,oil
86,2010,2.0,commercial,301.0,7,12.0,2.0,1920.0,13.0,20.7,30.2,1194.08,elec
87,2011,1.0,office,489.0,2,19.0,18.0,2005.0,8.9,15.9,21.4,7503.71,gas
88,2012,5.0,office,843.0,4,203.0,4.0,1941.0,24.7,29.1,34.1,4560.29,elec
89,2014,6.0,education,565.0,5,117.0,5.0,2006.0,20.4,30.5,36.7,3354.47,gas
90,2013,11.0,factory,3888.0,8,172.0,1.0,1963.0,14.3,20.1,25.7,1366.79,gas
91,2006,5.0,residential,317.0,6,12.0,23.0,1945.0,22.5,29.1,34.0,5118.28,oil
92,2014,3.0,education,301.0,4,19.0,6.0,1937.0,14.9,23.5,28.0,2548.63,elec
93,2013,6.0,commercial,1178.0,4,117.0,3.0,1930.0,25.9,30.7,36.3,4141.14,gas
94,2010,4.0,commercial,836.0,2,12.0,3.0,1971.0,23.2,27.7,31.4,3615.13,oil
95,2006,8.0,residential,591.0,5,-7.0,20.0,1964.0,22.1,28.9,36.1,10300.14,elec
96,2006,11.0,office,557.0,6,37.0,7.0,1925.0,12.5,19.6,26.0,2417.38,gas
97,2011,8.0,factory,342.0,4,172.0,2.0,,23.5,,35.8,573.12,elec
98,2006,10.0,,486.0,2,-7.0,17.0,2006.0,19.3,23.8,29.2,10993.09,elec
99,2005,8.0,office,258.0,4,117.0,11.0,1950.0,24.0,29.1,35.2,3838.11,elec
100,2009,10.0,,222.0,4,117.0,2.0,1982.0,18.4,23.0,28.0,330.34,gas
101,2012,11.0,commercial,877.0,2,55.0,2.0,1984.0,14.2,18.9,,1674.72,gas
102,2013,1.0,factory,497.0,3,51.0,6.0,1957.0,8.3,15.8,23.0,2399.0,oil
103,2009,12.0,office,659.0,7,117.0,22.0,1920.0,8.1,14.8,20.7,10853.93,gas
104,2009,2.0,office,277.0,1,172.0,10.0,1928.0,14.3,19.4,25.7,3484.72,oil
105,2010,8.0,office,460.0,3,12.0,16.0,,24.0,29.4,33.9,7418.88,elec
106,2009,11.0,commercial,1554.0,4,37.0,1.0,1995.0,14.1,19.2,25.3,3198.13,elec
107,2005,7.0,commercial,451.0,2,12.0,2.0,1981.0,23.5,30.6,37.9,920.96,oil
108,2011,10.0,residential,179.0,3,12.0,7.0,1978.0,15.3,23.4,30.9,1063.81,oil
109,2009,6.0,,487.0,1,51.0,2.0,,24.6,31.2,37.9,665.78,gas
110,2013,5.0,office,741.0,2,55.0,9.0,2004.0,24.6,,33.7,5149.8,oil
111,2012,9.0,factory,452.0,5,-7.0,2.0,1939.0,20.6,27.7,33.0,552.11,oil
112,2009,1.0,,256.0,8,-7.0,19.0,2005.0,7.2,13.4,17.5,5906.62,oil
113,2005,12.0,commercial,425.0,8,117.0,3.0,1956.0,8.8,15.5,22.2,2122.49,oil
114,2006,6.0,commercial,365.0,3,203.0,2.0,1963.0,25.1,,35.5,62.73,gas
115,2014,4.0,residential,291.0,6,51.0,13.0,1994.0,20.4,27.3,33.0,2322.01,gas
116,2009,5.0,office,804.0,1,337.0,18.0,1995.0,21.8,28.5,,17829.5,elec
117,2012,6.0,office,399.0,5,37.0,15.0,1922.0,25.4,,35.5,4670.63,oil
118,2009,6.0,factory,371.0,2,117.0,2.0,1945.0,23.0,30.4,37.0,754.17,elec
119,2011,5.0,factory,641.0,6,337.0,5.0,1963.0,23.4,28.7,33.4,1781.18,oil
120,2009,4.0,office,430.0,6,55.0,14.0,2001.0,20.0,27.3,32.6,3732.4,gas
121,2008,5.0,,1210.0,1,117.0,7.0,2004.0,23.2,29.1,34.7,6936.93,oil
122,2012,11.0,education,1114.0,4,51.0,4.0,1924.0,14.0,,25.5,6288.31,elec
123,2005,10.0,commercial,599.0,8,337.0,1.0,1948.0,16.5,23.4,29.1,449.22,gas
124,2013,2.0,commercial,657.0,6,-7.0,1.0,1963.0,13.7,,25.1,1339.23,elec
125,2007,10.0,office,356.0,1,55.0,25.0,1952.0,18.1,23.0,29.0,8792.74,oil
126,2013,4.0,education,338.0,4,117.0,5.0,2007.0,22.1,26.4,33.9,1577.89,oil
127,2010,5.0,education,493.0,2,51.0,2.0,1993.0,24.5,29.3,33.9,887.64,gas
128,2014,5.0,commercial,596.0,1,337.0,6.0,1984.0,23.0,29.3,33.9,3422.12,gas
129,2006,7.0,commercial,435.0,6,203.0,,1925.0,23.6,29.6,35.7,3705.16,oil
130,2011,5.0,office,843.0,4,203.0,4.0,1941.0,21.9,28.8,35.3,2195.17,gas
131,2013,1.0,residential,486.0,2,-7.0,17.0,2006.0,10.7,,19.3,10535.04,elec
132,2006,12.0,commercial,1029.0,5,117.0,4.0,1956.0,8.7,14.9,21.3,5923.62,oil
133,2008,4.0,commercial,290.0,2,-7.0,5.0,1981.0,20.4,26.0,31.2,2500.96,elec
134,2011,12.0,residential,1024.0,6,203.0,23.0,1967.0,7.4,14.8,19.1,28038.34,oil
135,2006,3.0,factory,371.0,2,117.0,2.0,1945.0,18.0,23.6,34.3,596.73,oil
136,2012,5.0,factory,218.0,3,203.0,1.0,1971.0,26.4,30.1,35.4,7.75,gas
137,2007,7.0,education,1527.0,5,117.0,3.0,1983.0,25.7,29.8,35.0,5882.88,elec
138,2006,3.0,education,480.0,4,51.0,2.0,1951.0,17.0,23.5,32.0,1162.71,oil
139,2012,4.0,commercial,941.0,3,117.0,4.0,1954.0,21.5,,31.5,4069.19,oil
140,2005,8.0,commercial,290.0,2,-7.0,5.0,1981.0,24.5,29.4,35.0,2090.09,oil
141,2007,6.0,office,123.0,5,12.0,23.0,1963.0,25.8,30.1,37.2,2682.71,gas
142,2013,,,1527.0,5,117.0,3.0,1983.0,6.2,,22.2,4306.34,gas
143,2005,7.0,office,1342.0,6,19.0,5.0,1944.0,22.2,30.3,34.9,7890.96,elec
144,2009,7.0,commercial,813.0,3,12.0,4.0,1961.0,23.1,29.5,34.3,3355.87,oil
145,2010,9.0,commercial,339.0,1,12.0,1.0,1926.0,22.0,26.7,31.7,451.82,elec
146,2011,7.0,commercial,529.0,8,117.0,2.0,1938.0,25.6,30.0,35.6,1759.31,elec
147,2012,8.0,residential,394.0,1,37.0,11.0,1940.0,25.6,29.4,41.1,4587.11,elec
148,2011,4.0,commercial,1231.0,5,55.0,5.0,1935.0,20.9,27.2,33.0,10099.81,elec
149,2010,6.0,commercial,339.0,1,12.0,1.0,1926.0,26.0,30.4,36.7,339.86,gas
150,2013,6.0,commercial,351.0,3,203.0,5.0,1946.0,22.6,30.0,34.7,2848.15,elec
151,2007,12.0,commercial,912.0,6,172.0,6.0,1951.0,6.0,13.8,20.7,10272.65,oil
152,2010,10.0,commercial,575.0,6,19.0,5.0,,13.1,24.0,30.6,2869.82,gas
153,2005,1.0,,403.0,5,337.0,6.0,1954.0,8.4,15.1,,3673.61,oil
154,2007,3.0,education,222.0,4,117.0,2.0,1982.0,16.5,24.1,32.5,751.89,elec
155,2005,9.0,education,420.0,1,12.0,6.0,1925.0,19.0,26.1,34.1,,oil
156,2009,6.0,residential,179.0,3,12.0,7.0,1978.0,26.1,30.6,37.1,1023.05,elec
157,2005,5.0,commercial,232.0,5,172.0,3.0,1976.0,23.9,28.9,35.6,1241.39,elec
158,2014,2.0,commercial,657.0,2,19.0,5.0,1972.0,10.1,19.6,28.8,5493.94,oil
159,2009,10.0,factory,323.0,5,117.0,3.0,1963.0,15.8,22.8,29.4,599.28,gas
160,2005,10.0,office,657.0,5,203.0,24.0,1999.0,18.9,24.5,30.5,20088.43,elec
161,2006,,residential,1172.0,8,12.0,2.0,1997.0,14.6,20.7,28.1,941.73,gas
162,2007,9.0,education,480.0,4,51.0,2.0,1951.0,22.3,27.9,35.6,,gas
163,2010,12.0,residential,177.0,5,337.0,25.0,1947.0,6.8,15.7,21.9,4482.68,oil
164,2006,5.0,education,1114.0,4,51.0,4.0,1924.0,22.9,,36.3,3481.03,gas
165,2012,4.0,education,351.0,6,117.0,1.0,1979.0,19.9,26.0,32.3,566.09,elec
166,2005,5.0,residential,623.0,1,51.0,26.0,,26.4,,34.8,18776.72,elec
167,2006,6.0,commercial,622.0,3,51.0,1.0,1966.0,24.7,29.4,33.0,921.65,elec
168,2009,8.0,commercial,367.0,2,-7.0,6.0,1974.0,23.2,28.4,35.2,5127.31,elec
169,2014,7.0,commercial,558.0,2,117.0,3.0,1938.0,23.7,29.6,37.8,2010.81,oil
170,2013,8.0,office,423.0,7,37.0,4.0,1991.0,23.2,29.0,36.2,1732.18,oil
171,2007,12.0,factory,953.0,2,-7.0,1.0,,9.0,14.8,23.1,783.65,oil
172,2007,8.0,education,451.0,5,203.0,4.0,1978.0,23.6,29.6,34.8,1322.13,oil
173,2011,8.0,commercial,734.0,3,337.0,6.0,1952.0,21.9,28.7,33.7,,gas
174,2011,1.0,education,473.0,2,337.0,5.0,1995.0,8.9,15.0,21.5,4020.88,elec
175,2014,4.0,office,741.0,2,55.0,9.0,2004.0,16.3,26.2,33.2,9448.64,elec
176,2011,3.0,residential,256.0,8,-7.0,19.0,2005.0,15.7,23.6,29.1,2051.87,gas
177,2013,8.0,commercial,388.0,4,37.0,3.0,1970.0,23.3,29.9,36.5,1161.9,gas
178,2014,6.0,office,1266.0,6,37.0,29.0,1952.0,26.1,31.3,36.3,34364.3,oil
179,2005,3.0,office,493.0,1,51.0,28.0,1995.0,17.8,,27.7,8537.08,gas
180,2006,5.0,factory,371.0,5,-7.0,6.0,1953.0,24.4,30.3,37.0,2041.87,elec
181,2010,9.0,education,326.0,7,12.0,5.0,1983.0,18.5,26.1,33.3,1464.36,gas
182,2008,1.0,office,225.0,6,19.0,23.0,1946.0,8.4,15.7,24.5,6955.2,elec
183,2012,7.0,factory,371.0,2,117.0,2.0,1945.0,26.1,30.8,35.6,925.57,elec
184,2012,1.0,education,1862.0,8,19.0,6.0,1945.0,6.0,14.3,19.7,,oil
185,2007,11.0,office,843.0,4,203.0,4.0,1941.0,15.5,19.2,23.6,2754.21,oil
186,2011,1.0,residential,256.0,8,-7.0,19.0,2005.0,11.1,15.6,22.3,5273.4,oil
187,2009,9.0,residential,1068.0,1,12.0,11.0,1946.0,21.1,27.5,36.7,13618.28,elec
188,2014,10.0,commercial,734.0,3,337.0,6.0,1952.0,17.3,23.7,29.5,4613.05,oil
189,2010,8.0,residential,615.0,2,203.0,7.0,1961.0,24.9,29.9,34.1,5489.39,elec
190,2011,12.0,commercial,429.0,8,51.0,1.0,1963.0,7.7,15.2,22.8,656.32,oil
191,2012,,commercial,524.0,6,117.0,3.0,1929.0,10.3,,21.7,1569.17,gas
192,2010,4.0,factory,218.0,4,37.0,6.0,1990.0,21.1,26.7,33.9,1384.39,elec
193,2009,10.0,residential,449.0,1,337.0,29.0,1926.0,14.4,23.2,30.1,8391.9,gas
194,2011,3.0,office,582.0,4,37.0,3.0,1975.0,16.5,23.0,27.6,1136.65,gas
195,2011,7.0,factory,987.0,5,203.0,2.0,1934.0,23.0,30.2,36.3,1159.78,gas
196,2013,9.0,commercial,312.0,4,172.0,3.0,1959.0,19.9,26.7,32.0,853.07,gas
197,2007,7.0,commercial,429.0,8,51.0,1.0,,21.2,30.2,38.1,491.89,oil
198,2009,2.0,education,299.0,6,37.0,5.0,1936.0,10.6,,24.0,1707.89,elec
199,2012,3.0,factory,218.0,4,37.0,6.0,1990.0,16.1,23.0,29.5,669.04,gas
200,2005,4.0,factory,497.0,3,51.0,6.0,1957.0,19.9,26.9,31.4,143.52,gas
201,2005,12.0,,1114.0,4,51.0,4.0,1924.0,9.0,15.3,21.9,3646.79,gas
202,2005,9.0,factory,923.0,8,12.0,3.0,1975.0,17.4,,37.7,1019.77,gas
203,2005,11.0,office,331.0,1,55.0,19.0,1964.0,13.7,19.6,28.0,4503.55,gas
204,2009,1.0,education,429.0,5,37.0,5.0,1994.0,8.5,15.5,21.8,2788.63,oil
205,2005,1.0,factory,306.0,6,337.0,5.0,1989.0,6.8,,19.9,1285.2,elec
206,2010,,residential,394.0,1,37.0,11.0,1940.0,22.0,26.7,32.4,,elec
207,2010,12.0,factory,368.0,7,-7.0,1.0,1932.0,9.3,14.6,18.6,373.26,elec
208,2014,1.0,factory,371.0,5,-7.0,6.0,1953.0,8.3,14.5,23.1,1948.85,oil
209,2008,2.0,office,623.0,2,172.0,8.0,1974.0,13.1,20.2,25.1,3399.09,gas
210,2009,6.0,residential,982.0,8,55.0,28.0,1959.0,23.3,30.0,34.3,37790.72,elec
211,2005,10.0,commercial,351.0,3,203.0,5.0,1946.0,17.8,22.6,27.0,2063.91,oil
212,2010,3.0,commercial,836.0,2,12.0,3.0,1971.0,17.7,23.8,30.2,3158.87,oil
213,2013,3.0,commercial,596.0,1,337.0,6.0,1984.0,14.4,23.7,29.9,4685.99,oil
214,2014,10.0,residential,179.0,3,12.0,7.0,1978.0,16.1,23.5,30.0,69.22,gas
215,2012,1.0,commercial,529.0,8,117.0,2.0,1938.0,9.8,15.1,22.2,2054.53,oil
216,2006,4.0,education,911.0,5,172.0,1.0,1986.0,18.4,25.9,31.8,877.31,oil
217,2010,7.0,education,425.0,5,-7.0,4.0,1932.0,20.8,30.7,36.5,1315.13,oil
218,2010,1.0,factory,368.0,7,-7.0,1.0,1932.0,8.8,14.2,19.4,337.71,elec
219,2009,8.0,residential,2730.0,1,-7.0,17.0,1973.0,23.4,29.5,39.4,35837.8,oil
220,2009,3.0,residential,313.0,3,-7.0,7.0,1978.0,18.1,24.2,28.9,115.53,gas
221,2013,6.0,residential,982.0,8,55.0,28.0,1959.0,24.5,30.9,35.9,27993.13,elec
222,2010,5.0,office,258.0,4,117.0,11.0,1950.0,23.6,28.3,33.0,2556.75,oil
223,2005,4.0,commercial,476.0,7,37.0,4.0,2003.0,20.8,27.2,37.9,2339.06,oil
224,2009,1.0,commercial,357.0,7,337.0,6.0,1921.0,8.2,15.5,20.8,4611.76,oil
225,2006,11.0,commercial,435.0,6,203.0,6.0,1925.0,13.9,,26.1,3743.78,oil
226,2006,11.0,office,493.0,1,51.0,28.0,1995.0,13.2,19.5,23.9,18505.45,oil
227,2007,2.0,residential,661.0,5,-7.0,12.0,1938.0,9.1,18.8,23.8,8003.45,elec
228,2012,3.0,residential,982.0,8,55.0,28.0,1959.0,18.7,23.8,32.3,29392.78,elec
229,2005,6.0,commercial,357.0,7,337.0,6.0,1921.0,23.5,29.7,35.4,4634.95,elec
230,2009,3.0,,334.0,8,37.0,4.0,2001.0,18.7,23.5,28.5,918.44,gas
231,2005,2.0,commercial,488.0,2,55.0,5.0,1995.0,13.9,19.5,30.3,4839.79,elec
232,2012,1.0,commercial,284.0,1,172.0,2.0,1976.0,9.4,15.2,21.3,921.42,oil
233,2007,11.0,commercial,312.0,4,172.0,3.0,1959.0,12.7,18.9,26.5,771.83,gas
234,2012,10.0,commercial,657.0,5,337.0,1.0,1964.0,18.3,23.9,29.5,675.64,oil
235,2010,7.0,residential,394.0,1,37.0,11.0,1940.0,25.2,29.5,37.3,4150.24,elec
236,2007,1.0,commercial,836.0,2,12.0,3.0,1971.0,8.4,14.8,20.4,2394.64,gas
237,2009,12.0,residential,317.0,6,203.0,28.0,1999.0,10.3,15.6,22.4,10289.06,elec
238,2013,6.0,commercial,877.0,2,55.0,2.0,1984.0,26.5,30.6,35.0,3327.83,elec
239,2013,11.0,factory,641.0,6,337.0,5.0,1963.0,13.3,19.4,26.2,1415.81,gas
240,2005,6.0,residential,233.0,7,51.0,12.0,1949.0,24.2,30.6,37.7,2698.84,oil
241,2012,6.0,commercial,139.0,7,117.0,6.0,1928.0,25.0,30.3,35.0,1804.64,elec
242,2005,11.0,commercial,290.0,2,-7.0,5.0,1981.0,11.7,18.7,24.7,2626.01,elec
243,2008,6.0,residential,405.0,2,203.0,19.0,1982.0,25.7,30.6,38.1,3778.55,gas
244,2005,7.0,commercial,1178.0,4,117.0,3.0,1930.0,22.6,29.3,35.1,6691.13,elec
245,2013,1.0,education,156.0,3,-7.0,3.0,1978.0,10.2,15.3,21.6,34.47,gas
246,2009,9.0,education,411.0,4,172.0,2.0,1949.0,20.8,26.8,33.9,1160.01,elec
