,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,lat,long,sqft_living15,sqft_lot15,month,year
0,1,3.0,1.0,1180.0,5650,1.0,0.0,0.0,3,7.0,1180,0,1955.0,0,47.46969181139944,-115.66232527420892,1340,5650.0,10,2014
1,3,3.0,2.25,2570.0,7242,2.0,0.0,0.0,3,7.0,2170,400,1951.0,1991,47.80528984305032,-118.562505577348,1690,12799.79,12,2014
2,1,2.0,1.0,770.0,10000,1.0,0.0,0.0,3,6.0,770,0,1933.0,0,47.97453893335129,-117.33203879766208,2720,8062.0,2,2015
3,4,4.0,3.0,1960.0,5000,1.0,0.0,0.0,5,7.0,1050,910,1965.0,0,47.42961907963767,-118.37683704095252,1360,5000.0,12,2014
4,3,3.0,2.0,1680.0,8080,1.0,0.0,0.0,3,8.0,1680,0,1987.0,0,47.07828470879382,-118.80369034510149,1800,7503.0,2,2015
5,5,4.0,4.5,5420.0,101930,1.0,0.0,0.0,3,11.0,3890,1530,2001.0,0,47.38170601910658,-117.22664905520276,4760,101930.0,5,2014
6,2,3.0,2.25,1715.0,6819,2.0,0.0,0.0,3,7.0,1715,0,1995.0,0,47.47909228400568,-119.08519890163932,2238,6819.0,6,2014
7,2,3.0,1.5,1060.0,9711,1.0,0.0,0.0,3,7.0,1060,0,1963.0,0,47.29444807569472,-118.5065151180062,1650,9711.0,1,2015
8,1,3.0,1.0,1780.0,7470,1.0,0.0,0.0,3,7.0,1050,730,1960.0,0,47.71851688275037,-118.1774400415698,1780,8113.0,4,2015
9,2,3.0,2.5,1890.0,6560,2.0,0.0,0.0,3,7.0,1890,0,2003.0,0,47.59003664218663,-118.4077009368704,2390,7570.0,3,2015
10,3,2.0,1.0,1160.0,6000,1.0,0.0,0.0,4,7.0,860,300,1942.0,0,47.62219069319498,-117.14572261968206,1330,6000.0,5,2014
11,2,3.0,1.0,1430.0,19901,1.5,0.0,0.0,4,7.0,1430,0,1927.0,0,47.72099394515632,-119.06225865158504,1780,12697.0,5,2014
12,3,3.0,1.75,1370.0,9680,1.0,0.0,0.0,4,7.0,1370,0,1977.0,0,47.96853895477566,-118.23516210160642,1370,10208.0,10,2014
13,4,4.0,3.0,2950.0,5000,2.0,0.0,0.0,3,9.0,1980,970,1979.0,0,47.8221682804941,-119.723178206199,2140,4000.0,1,2015
14,3,3.0,2.0,1890.0,14040,2.0,0.0,0.0,3,7.0,1890,0,1994.0,0,47.70924061998881,-115.9058914016003,1890,14018.0,7,2014
15,3,4.0,1.0,1600.0,4300,1.5,0.0,0.0,4,7.0,1600,0,1916.0,0,47.929994993219125,-118.98549484188106,1610,4300.0,5,2014
16,1,2.0,1.0,1200.0,9850,1.0,0.0,0.0,4,7.0,1200,0,1921.0,0,47.50497065780071,-120.3652329652727,1060,5095.0,12,2014
