,0,1,2,3,5,6,7,10,17,18,21,22,23
0,p,x,s,n,3.28,f,-1,e,w,o,5,57.46969181,-95.66232527
1,e,x,s,y,-4.6,f,-1,e,w,o,14,57.80528984,-98.56250558
2,e,b,s,w,11.33,f,-1,e,w,o,5,57.97453893,-97.3320388
3,p,x,y,w,13.58,f,-1,e,w,,12,57.42961908,-98.37683704
4,e,x,s,g,1.61,f,0,t,w,o,26,57.07828471,-98.80369035
5,e,x,y,y,0.74,f,-1,e,w,o,17,57.38170602,-97.22664906
6,e,b,s,w,9.2,f,-1,e,w,o,14,57.47909228,-99.0851989
7,e,b,y,w,11.12,f,-1,e,w,o,10,57.29444808,-98.50651512
8,p,x,y,w,8.4,f,-1,e,w,o,-1,57.71851688,-98.17744004
9,e,b,s,y,1.79,f,-1,e,w,o,4,57.59003664,-98.40770094
10,e,x,y,y,0.99,f,-1,e,w,o,12,57.51563818,-99.04227349
11,e,x,y,y,-1.53,f,-1,e,w,o,-2,57.62219069,-97.14572262
12,e,b,s,y,0.17,f,,e,w,o,2,57.72099395,-99.06225865
13,p,x,y,w,6.93,f,-1,e,w,o,5,57.96853895,-98.2351621
14,e,x,f,n,-2.24,f,0,t,w,o,16,57.43379742,-98.75194568
15,e,s,f,g,-7.38,f,-1,e,w,o,-7,57.82216828,-99.72317821
16,e,f,f,w,2.01,f,0,t,w,o,25,57.70924062,-95.9058914
17,p,x,s,n,9.12,f,-1,e,w,o,8,57.92999499,-98.98549484
18,p,x,y,w,3.89,f,-1,e,w,o,2,57.50497066,-100.365233
19,p,x,s,n,3.32,f,-1,e,w,o,5,57.10836399,-96.6114317
20,e,b,s,y,-0.1,f,-1,e,w,o,14,57.92589669,-97.80202482
21,p,x,y,n,-1.76,f,-1,e,w,o,6,57.32149709,-98.43677827
22,e,b,y,y,3.3,f,-1,e,w,o,2,57.2886442,-97.48525243
23,e,b,y,w,6.25,f,-1,e,w,o,13,57.15021319,-99.20573448
24,e,b,s,w,7.55,,-1,e,w,,-2,57.6042897,-97.48105331
25,p,f,s,w,2.86,f,-1,e,w,o,9,57.11837044,-98.50258162
26,e,x,y,y,-0.6,f,-1,e,w,o,7,58.11117453,-98.42929222
27,e,x,y,w,2.46,,-1,e,w,o,16,57.95817974,-98.25284344
28,e,f,f,n,-3.39,f,-1,e,w,o,-2,57.51352418,-98.23388574
29,e,x,s,y,5.16,f,0,t,w,o,5,57.53870913,-97.7810567
