,classes,cap-shape,cap-surface,cap-color,odor,gill-attachment,gill-spacing,stalk-shape,veil-color,ring-number,population,latitude,longitude
0,1,2,3,0,9.74,2,-1,0,2,1,4.0,57.46969181,-95.66232527
1,0,2,3,9,7.17,2,-1,0,2,1,5.0,57.80528984,-98.56250558
2,0,0,3,8,0.76,2,-1,0,2,1,4.0,57.97453893,-97.3320388
3,1,2,2,8,2.96,2,-1,0,2,1,11.0,57.42961908,-98.37683704
4,0,2,3,3,1.87,2,0,1,2,1,30.0,57.07828471,-98.80369035
5,0,2,2,9,-4.3,2,-1,0,2,1,11.0,57.38170602,-97.22664906
6,0,0,3,8,2.68,2,-1,0,2,1,9.0,57.47909228,-99.0851989
7,0,0,2,8,-1.27,2,-1,0,2,1,8.0,57.29444808,-98.50651512
8,1,2,2,0,6.6,2,-1,0,2,1,2.0,57.71851688,-98.17744004
9,0,0,3,9,-10.27,2,-1,0,2,1,9.0,57.59003664,-98.40770094
10,0,2,2,9,5.78,2,-1,0,2,1,6.0,57.51563818,-99.04227349
11,0,2,2,9,4.56,2,-1,0,2,1,9.0,57.62219069,-97.14572262
12,0,0,3,9,2.49,2,-1,0,2,1,3.0,57.72099395,-99.06225865
13,1,2,2,8,2.9,2,-1,0,2,1,8.0,57.96853895,-98.2351621
14,0,2,0,0,0.09,2,0,1,2,1,12.0,57.43379742,-98.75194568
15,0,5,0,3,8.58,2,-1,0,2,1,9.0,57.82216828,-99.72317821
16,0,3,0,8,-0.87,2,0,1,2,1,22.0,57.70924062,-95.9058914
17,1,2,3,0,2.02,2,-1,0,2,1,7.0,57.92999499,-98.98549484
18,1,2,2,8,11.26,2,-1,1,2,1,7.0,57.50497066,-100.365233
19,1,2,3,0,6.52,2,-1,0,2,1,14.0,57.10836399,-96.6114317
20,0,0,3,9,2.61,2,-1,0,2,1,-2.0,57.92589669,-97.80202482
21,1,2,2,0,7.35,2,-1,0,2,1,4.0,57.32149709,-98.43677827
22,0,0,2,9,6.58,2,-1,0,2,1,3.0,57.2886442,-97.48525243
23,0,0,2,8,3.45,2,-1,0,2,1,16.0,57.15021319,-99.20573448
24,0,0,3,8,5.91,2,-1,0,2,1,7.0,57.6042897,-97.48105331
25,1,3,3,8,5.9,2,-1,0,2,1,3.0,57.11837044,-98.50258162
26,0,2,2,9,1.78,2,-1,0,2,1,15.0,58.11117453,-98.42929222
27,0,2,2,8,0.96,2,-1,0,2,1,10.0,57.95817974,-98.25284344
28,0,3,0,0,-4.33,2,-1,0,2,1,-4.0,57.51352418,-98.23388574
29,0,2,3,9,2.59,2,0,1,2,1,4.0,57.53870913,-97.7810567
30,0,0,3,9,3.81,2,-1,0,2,1,11.0,57.68061127,-98.52241809
31,1,2,2,8,12.06,2,-1,0,2,1,2.0,57.73891477,-98.17648588
32,0,2,2,9,3.74,2,-1,0,2,1,16.0,57.54031948,-99.15599549
33,0,2,2,0,1.88,2,-1,0,2,1,4.0,57.87332076,-99.95072478
34,0,0,2,9,0.32,2,-1,0,2,1,4.0,57.43161987,-98.05050353
35,0,2,0,9,-1.74,2,0,1,2,1,8.0,57.62620369,-98.56221648
36,0,5,0,3,-6.54,2,-1,0,2,1,8.0,57.66742904,-97.06163034
37,1,2,2,0,0.75,2,-1,0,2,1,6.0,57.85197599,-97.78389556
38,0,2,0,9,5.28,2,0,1,2,1,5.0,56.95658068,-98.55494844
39,0,0,3,9,6.8,2,-1,0,2,1,1.0,57.68693986,-98.55055167
40,0,0,2,9,0.33,2,-1,0,2,1,2.0,57.5711327,-98.04530826
41,0,2,2,9,1.17,2,-1,0,2,1,-6.0,57.26141753,-97.86416546
42,0,2,0,0,40.45,2,-1,0,2,1,7.0,57.48898606,-99.61129122
43,1,2,2,8,10.06,2,-1,0,2,1,5.0,57.59793007,-97.79099044
44,0,2,3,0,4.38,2,-1,0,2,1,6.0,57.35522838,-97.06129446
45,0,2,2,8,-3.51,2,-1,0,2,1,7.0,57.40666402,-97.4040454
46,0,2,2,9,2.46,2,-1,0,2,1,4.0,57.50093328,-98.40747626
47,0,2,3,8,-0.09,2,-1,0,2,1,4.0,57.58279611,-95.93771446
48,0,2,2,9,5.25,2,-1,0,2,1,4.0,57.68330286,-99.46995226
49,0,3,2,9,4.52,2,-1,0,2,1,8.0,57.44287528,-97.88847097
50,0,2,2,0,0.78,2,-1,0,2,1,4.54,57.12789558,-98.29643385
51,0,2,3,8,5.7,2,-1,0,2,1,0.0,57.37279755,-98.65073788
52,0,0,3,8,13.31,2,-1,0,2,1,11.0,57.7174005,-98.10065003
53,1,2,2,0,0.11,2,-1,0,2,1,-3.0,57.61295427,-96.78789622
54,1,2,3,8,2.65,2,-1,0,2,1,0.0,57.81725512,-98.51600383
55,0,0,2,9,-0.56,2,-1,0,2,1,5.0,57.80963993,-98.51411436
56,0,3,0,3,2.09,2,0,1,2,1,27.0,57.3631775,-97.05104012
57,0,0,3,8,-0.44,2,-1,0,2,1,11.0,57.42824323,-97.44936805
58,0,2,3,9,2.97,2,-1,0,2,1,12.0,57.60914432,-97.97835941
59,0,2,2,0,1.12,2,-1,0,2,1,1.0,57.46759871,-99.17231935
60,0,5,0,3,0.16,2,-1,0,2,1,-4.0,57.35441401,-99.62614187
61,0,0,2,9,7.08,2,-1,0,2,1,3.0,57.70936663,-99.45599252
62,0,0,3,9,-0.35,2,-1,0,2,1,2.0,57.21916251,-98.69775195
63,0,0,2,9,-0.55,2,-1,0,2,1,14.0,57.63543229,-99.21984115
64,0,0,2,8,-1.42,2,-1,0,2,1,1.0,57.56812651,-97.52407619
65,0,3,3,0,-0.01,2,0,1,2,1,22.0,57.42152742,-97.3040628
66,0,2,3,8,-3.53,2,-1,0,2,1,13.0,57.52999429,-98.07278773
67,0,3,2,0,-0.02,2,-1,0,2,1,5.0,57.25555874,-98.16565821
68,0,2,2,9,-1.53,2,-1,0,2,1,16.0,57.04965251,-97.84997133
69,0,2,0,3,2.61,2,-1,0,2,1,6.0,57.85911846,-99.2290501
70,0,3,0,9,7.63,2,0,1,2,1,3.0,57.69305094,-99.17034539
71,0,0,2,8,2.06,2,-1,0,2,1,10.0,58.02449581,-97.70840721
72,0,3,0,9,-3.87,2,0,1,2,1,2.0,57.64667619,-97.98168958
73,0,2,2,0,5.73,2,-1,0,2,1,10.0,57.3197915,-97.39540408
74,0,0,3,9,-4.27,2,-1,0,2,1,-1.0,57.37416561,-99.05628284
75,0,3,3,0,6.97,2,0,1,2,1,8.0,57.5053712,-96.86156968
76,0,2,3,8,8.22,2,0,1,2,1,4.0,57.76995949,-97.53591501
77,0,3,2,0,1.7,2,-1,0,2,1,0.0,57.55070486,-98.45916142
78,1,2,2,0,1.65,2,-1,0,2,1,-1.0,57.74592695,-98.65764923
79,0,3,2,0,-2.16,2,-1,0,2,1,0.0,57.38541616,-99.77303771
80,0,2,3,0,-11.65,2,0,1,2,1,-3.0,57.26260427,-97.81620931
81,1,2,2,8,6.26,2,-1,0,2,1,4.0,57.75950743,-97.00439697
82,0,3,0,3,-4.34,2,-1,0,2,1,-8.0,57.49287711,-98.78866733
83,0,2,0,3,-5.47,2,0,1,2,1,10.0,57.69522715,-97.82609555
84,0,2,2,9,3.45,2,-1,0,2,1,3.0,57.42810724,-98.44627701
85,0,2,3,0,0.21,2,0,1,2,1,4.0,57.61054332,-97.90514093
86,0,0,3,8,-2.26,2,-1,0,2,1,-4.0,57.0206159,-98.43112649
87,0,2,3,8,0.02,2,-1,0,2,1,7.0,57.82862771,-99.26707454
88,0,3,2,0,7.46,2,-1,0,2,1,6.0,57.72100321,-99.73844047
89,0,5,0,0,4.45,2,-1,0,2,1,-2.0,57.77725804,-97.17699314
90,0,2,0,0,-2.64,2,-1,0,2,1,0.0,57.10233721,-97.17418035
91,0,0,3,8,5.35,2,-1,0,2,1,7.0,57.78059972,-96.71834274
92,0,2,2,9,10.21,2,-1,0,2,1,1.0,57.53940289,-98.17502192
93,0,2,2,9,4.94,2,-1,0,2,1,-1.0,57.54501538,-97.76392257
94,0,2,3,0,-3.45,2,0,1,2,1,22.0,57.58329796,-98.70192846
95,0,2,3,0,-2.73,2,-1,0,2,1,9.0,57.8121216,-98.83631462
96,0,3,2,0,-3.82,2,-1,0,2,1,3.0,57.1176196,-97.38449877
97,0,2,3,9,-0.93,2,-1,0,2,1,12.0,57.27256388,-99.43800411
98,0,0,3,8,1.68,2,-1,0,2,1,11.0,57.27728943,-98.06841855
99,0,2,2,8,-0.89,2,-1,0,2,1,2.0,57.62033536,-97.14595387
100,0,2,0,0,1.17,2,0,1,2,1,0.0,57.72912969,-98.7245
101,0,0,3,9,1.3,2,-1,0,2,1,13.0,57.84171746,-98.13600134
102,0,3,2,9,3.95,2,-1,0,2,1,4.0,57.80404438,-99.0494333
103,0,2,2,9,9.44,2,-1,0,2,1,3.0,57.7122352,-97.26010606
104,0,0,2,8,2.38,2,-1,0,2,1,12.0,57.73138013,-96.98989117
105,0,2,2,9,-1.43,2,-1,0,2,1,9.0,57.6072965,-97.44607113
106,0,2,2,9,-1.67,2,-1,0,2,1,11.0,58.00220671,-98.32135707
107,0,0,2,8,4.36,2,-1,0,2,1,3.0,57.3873504,-96.79291808
108,0,0,2,8,-3.08,2,-1,0,2,1,6.0,57.87599226,-99.72373996
109,0,2,3,9,3.04,2,-1,0,2,1,6.0,57.68464439,-98.95830033
110,0,2,3,9,5.08,2,-1,0,2,1,6.0,57.77063544,-97.68073212
111,0,5,0,3,3.16,2,-1,0,2,1,1.0,57.73358145,-98.96875227
112,0,2,0,8,4.22,2,0,1,2,1,5.0,57.33898103,-100.3856833
113,0,2,3,9,-2.0,2,-1,0,2,1,7.0,57.38198063,-97.51398787
114,1,2,2,8,1.57,2,-1,0,2,1,1.0,57.31406812,-98.44739739
115,0,2,2,9,2.04,2,-1,0,2,1,6.0,57.66237587,-100.6668696
116,0,5,0,3,1.08,2,-1,0,2,1,-2.0,57.65015239,-99.44890484
117,0,2,2,9,-1.7,2,-1,0,2,1,6.0,57.79466768,-96.97922949
118,0,2,3,9,2.71,2,0,1,2,1,5.0,57.43751298,-98.85385256
119,0,5,0,0,-5.95,2,-1,0,2,1,-1.0,57.52826503,-98.47024892
120,1,2,3,8,7.75,2,-1,0,2,1,-3.0,57.77395941,-98.04425197
121,0,2,2,8,0.61,2,-1,0,2,1,17.0,57.48483487,-97.89244893
122,1,3,2,0,4.99,2,-1,0,2,1,14.0,57.57606165,-98.50381487
