fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind
7.0,0.27,2.16,20.7,0.045,165.0,170.0,4.0,3.0,0.45,8.8,6,0.0
6.3,0.3,2.04,1.6,0.049,136.0,132.0,2.0,3.3,0.49,9.5,6,0.0
8.1,0.28,2.4,6.9,0.05,152.0,97.0,3.0,3.26,0.44,10.1,6,0.0
7.2,0.23,1.92,8.5,0.058,167.0,115.61731664259348,3.0,3.19,0.4,9.9,6,0.0
7.2,0.23,1.92,8.5,0.058,171.0,186.0,3.0,3.19,0.4,9.9,6,0.0
8.1,0.28,2.4,6.9,0.05,150.0,97.0,3.0,3.26,0.44,10.1,6,0.0
6.2,0.32,0.96,7.0,0.045,150.0,136.0,3.0,3.18,0.47,9.6,6,0.0
7.0,0.27,2.16,20.7,0.045,165.0,170.0,4.0,3.0,0.45,8.8,6,0.0
6.3,0.3,2.04,1.6,0.049,130.0,132.0,2.0,3.3,0.49,9.5,6,0.0
8.1,0.22,2.58,1.5,0.044,144.0,129.0,2.0,3.22,0.45,11.0,6,0.0
8.1,0.27,2.05,1.45,0.033,117.0,63.0,1.0,2.99,0.56,12.0,5,0.0
8.6,0.23,2.0,4.2,0.035,121.0,109.0,2.0,3.14,0.53,9.7,5,0.0
7.9,0.18,1.85,1.2,0.04,114.0,75.0,1.0,3.18,0.63,10.8,5,0.0
6.6,0.16,2.8,1.5,0.044,184.0,143.0,1.0,3.54,0.52,12.4,7,0.0
8.3,0.42,3.1,19.25,0.04,145.0,172.0,4.0,2.98,0.67,9.7,5,0.0
6.6,0.17,2.66,1.5,0.032,170.0,112.0,1.0,3.25,0.55,11.4,7,0.0
6.3,0.48,0.24,1.1,0.046,154.0,99.0,2.0,3.24,0.36,9.6,6,0.0
7.4,0.34,2.52,1.1,0.033,135.0,171.0,1.0,3.12,0.53,11.3,6,0.0
6.5,0.31,0.7,7.5,0.044,134.0,133.0,3.0,3.22,0.5,9.5,5,0.0
6.4,0.31,2.66,2.9,0.038,157.0,102.0,1.0,3.17,0.35,11.0,7,0.0
7.6,0.67,0.7,1.5,0.074,123.0,168.0,2.0,3.05,0.51,9.3,5,0.0
6.6,0.27,2.46,1.3,0.052,138.0,142.0,3.0,3.42,0.47,10.0,6,0.0
7.0,0.25,1.92,9.0,0.046,174.0,115.61731664259348,3.0,3.25,0.5,10.4,6,0.0
6.9,0.24,2.1,1.0,0.052,155.0,146.0,2.0,3.45,0.44,10.0,6,0.0
7.0,0.28,2.34,8.7,0.051,154.0,141.0,3.0,3.38,0.53,10.5,6,0.0
7.4,0.27,2.88,1.1,0.047,141.0,132.0,1.0,3.19,0.49,11.6,6,0.0
7.2,0.32,2.52,2.0,0.033,177.0,114.0,1.0,3.1,0.71,12.3,7,0.0
8.5,0.24,2.34,10.4,0.044,136.0,142.0,4.0,3.2,0.53,10.0,6,0.0
8.3,0.14,2.04,1.1,0.042,129.0,47.0,2.0,3.47,0.4,10.2,6,0.0
7.4,0.25,2.16,2.05,0.05,153.0,100.0,1.0,3.19,0.44,10.8,6,0.0
6.2,0.12,2.04,1.5,0.045,163.0,117.0,2.0,3.42,0.51,9.0,6,0.0
5.8,0.27,1.0,14.95,0.044,124.0,179.0,3.0,3.37,0.37,10.2,5,0.0
7.3,0.28,2.15,1.7,0.08,119.0,123.0,1.0,3.19,0.42,12.8,5,0.0
6.5,0.39,1.15,5.4,0.051,123.0,149.0,2.0,3.24,0.35,10.0,5,0.0
7.0,0.33,1.92,1.2,0.053,158.0,138.0,1.0,3.13,0.28,11.2,6,0.0
7.3,0.24,1.95,17.95,0.057,145.0,149.0,4.0,3.21,0.36,8.6,5,0.0
7.3,0.24,1.95,17.95,0.057,143.0,149.0,4.0,3.21,0.36,8.6,5,0.0
6.7,0.23,2.34,2.5,0.172,183.0,158.0,2.0,3.11,0.36,9.4,6,0.0
6.7,0.24,2.34,2.9,0.173,181.0,157.0,2.0,3.1,0.34,9.4,6,0.0
7.0,0.31,1.56,7.4,0.069,144.0,160.0,3.0,3.13,0.46,9.8,6,0.0
6.6,0.24,1.62,1.4,0.057,153.0,152.0,2.0,3.22,0.56,9.5,6,0.0
6.7,0.23,1.56,1.4,0.06,157.0,154.0,2.0,3.24,0.56,9.5,6,0.0
7.4,0.18,2.17,1.4,0.058,174.0,115.61731664259348,2.0,3.16,0.53,10.0,7,0.0
6.2,0.45,1.04,4.4,0.063,145.0,206.0,2.0,3.27,0.52,9.8,4,0.0
6.2,0.46,1.25,4.4,0.066,162.0,207.0,2.0,3.25,0.52,9.8,5,0.0
7.0,0.31,1.56,7.4,0.069,146.0,160.0,3.0,3.13,0.46,9.8,6,0.0
6.9,0.19,1.75,5.0,0.067,130.0,150.0,3.0,3.36,0.48,9.8,5,0.0
7.2,0.19,1.86,1.6,0.062,157.0,173.0,1.0,3.35,0.44,11.7,6,0.0
6.6,0.25,2.03,1.1,0.068,183.0,124.0,1.0,3.34,0.58,11.0,7,0.0
6.2,0.16,2.31,1.1,0.057,155.0,82.0,1.0,3.32,0.46,10.9,7,0.0
6.4,0.18,2.1,1.0,0.045,159.0,108.0,1.0,3.31,0.35,10.9,6,0.0
6.8,0.2,3.54,0.9,0.147,160.0,132.0,2.0,3.05,0.38,9.1,6,0.0
6.9,0.25,2.1,1.3,0.039,145.0,191.0,1.0,3.13,0.52,11.0,6,0.0
7.2,0.21,2.04,11.9,0.043,159.0,213.0,3.0,3.09,0.5,9.6,6,0.0
6.0,0.19,1.56,12.4,0.048,168.0,147.0,4.0,3.3,0.36,8.9,6,0.0
6.6,0.38,0.9,4.6,0.044,149.0,78.0,2.0,3.11,0.38,10.2,6,0.0
