,FA,VA,CA,RS,chlorides,FSD,TSD,density,pH,sulphates,alcohol,quality
0,7.0,0.27,2.16,20.7,0.045,167.0,170.0,3,3.0,0.45,8.8,1
1,6.3,0.3,2.04,1.6,0.049,136.0,132.0,2,3.3,0.49,9.5,1
2,8.1,0.28,2.4,6.9,0.05,148.0,97.0,0,3.26,0.44,10.1,1
3,7.2,0.23,1.92,8.5,0.057999999999999996,165.0,186.0,0,3.19,0.4,9.9,1
4,7.2,0.23,1.92,8.5,0.057999999999999996,169.0,186.0,0,3.19,0.4,9.9,1
5,8.1,0.28,2.4,6.9,0.05,146.8341224489796,97.0,0,3.26,0.44,10.1,1
6,6.2,0.32,0.96,7.0,0.045,150.0,136.0,0,3.18,0.47,9.6,1
9,8.1,0.22,2.58,1.5,0.044000000000000004,148.0,129.0,2,3.22,0.45,11.0,1
10,8.1,0.27,2.05,1.45,0.033,113.0,63.0,1,2.99,0.56,12.0,0
11,8.6,0.23,2.0,4.2,0.035,117.0,109.0,2,3.14,0.53,9.7,0
12,7.9,0.18,1.85,5.443836575875507,0.04,118.0,75.0,1,3.18,0.63,10.8,0
13,6.6,0.16,2.8,1.5,0.044000000000000004,146.8341224489796,115.80207972270364,1,3.54,0.52,12.4,1
14,8.3,0.42,3.1,19.25,0.04,139.0,172.0,3,2.98,0.67,9.7,0
15,6.6,0.17,1.8638096026490105,1.5,0.032,170.0,112.0,1,3.25,0.55,11.4,1
16,6.3,0.48,0.24,1.1,0.046,150.0,99.0,2,3.24,0.36,9.6,1
17,6.2,0.66,3.84,1.2,0.028999999999999998,193.0,75.0,1,3.33,0.39,12.8,1
18,7.4,0.34,1.8638096026490105,1.1,0.033,137.0,171.0,1,3.12,0.53,11.3,1
19,6.5,0.31,0.7,7.5,0.044000000000000004,146.8341224489796,133.0,0,3.22,0.5,9.5,0
20,6.2,0.66,3.84,1.2,0.028999999999999998,191.0,75.0,1,3.33,0.39,12.8,1
21,6.4,0.31,2.66,2.9,0.038,159.0,102.0,1,3.17,0.35,11.0,1
22,6.8,0.26,3.36,1.7,0.049,146.8341224489796,122.0,2,3.47,0.48,10.5,1
23,7.6,0.67,0.7,5.443836575875507,0.07400000000000001,131.0,168.0,2,3.05,0.51,9.3,0
24,6.6,0.27,2.46,1.3,0.052000000000000005,132.0,142.0,0,3.42,0.47,10.0,1
26,6.9,0.24,2.1,1.0,0.052000000000000005,157.0,146.0,2,3.45,0.44,10.0,1
27,7.0,0.28,2.34,8.7,0.051,150.0,141.0,0,3.38,0.53,10.5,1
28,7.4,0.27,2.88,1.1,0.047,146.8341224489796,132.0,1,3.19,0.49,11.6,1
29,7.2,0.32,2.52,2.0,0.033,175.0,114.0,1,3.1,0.71,12.3,1
30,8.5,0.24,2.34,10.4,0.044000000000000004,138.0,142.0,3,3.2,0.53,10.0,1
31,8.3,0.14,2.04,1.1,0.042,129.0,47.0,2,3.47,0.4,10.2,1
32,7.4,0.25,2.16,2.05,0.05,153.0,100.0,1,3.19,0.44,10.8,1
33,6.2,0.12,2.04,1.5,0.045,161.0,117.0,2,3.42,0.51,9.0,1
34,5.8,0.27,1.0,14.95,0.044000000000000004,114.0,179.0,0,3.37,0.37,10.2,0
35,7.3,0.28,2.15,1.7,0.08,121.0,123.0,1,3.19,0.42,12.8,0
36,6.5,0.39,1.15,5.4,0.051,119.0,115.80207972270364,2,3.24,0.35,10.0,0
37,7.0,0.33,1.92,1.2,0.053,162.0,138.0,1,3.13,0.28,11.2,1
38,7.3,0.24,1.95,17.95,0.057,145.0,149.0,3,3.21,0.36,8.6,0
39,7.3,0.24,1.95,17.95,0.057,146.8341224489796,149.0,3,3.21,0.36,8.6,0
40,6.7,0.23,2.34,2.5,0.172,187.0,158.0,2,3.11,0.36,9.4,1
41,6.7,0.24,2.34,2.9,0.17300000000000001,181.0,157.0,2,3.1,0.34,9.4,1
42,7.0,0.31,1.56,7.4,0.069,154.0,160.0,0,3.13,0.46,9.8,1
43,6.6,0.24,1.62,1.4,0.057,151.0,152.0,2,3.22,0.56,9.5,1
44,6.7,0.23,1.8638096026490105,1.4,0.06,153.0,154.0,2,3.24,0.56,9.5,1
45,7.4,0.18,2.17,1.4,0.057999999999999996,178.0,167.0,2,3.16,0.53,10.0,1
48,7.0,0.31,1.56,7.4,0.069,150.0,160.0,0,3.13,0.46,9.8,1
49,7.1831040774234385,0.19,1.8638096026490105,5.0,0.067,132.0,150.0,0,3.36,0.48,9.8,0
50,7.2,0.19,1.86,1.6,0.062,149.0,173.0,1,3.35,0.44,11.7,1
52,6.2,0.16,2.31,1.1,0.057,157.0,82.0,1,3.32,0.46,10.9,1
53,6.4,0.18,2.1,5.443836575875507,0.045,146.8341224489796,108.0,1,3.31,0.35,10.9,1
54,6.8,0.2,3.54,0.9,0.147,162.0,132.0,2,3.05,0.38,9.1,1
55,6.9,0.25,2.1,1.3,0.039,151.0,115.80207972270364,1,3.13,0.52,11.0,1
56,7.2,0.21,2.04,11.9,0.043,159.0,115.80207972270364,0,3.09,0.5,9.6,1
57,6.0,0.19,1.56,12.4,0.048,166.0,147.0,3,3.3,0.36,8.9,1
58,6.6,0.38,0.9,5.443836575875507,0.044000000000000004,143.0,78.0,2,3.11,0.38,10.2,1
59,7.4,0.2,2.16,1.2,0.038,146.8341224489796,111.0,2,3.36,0.34,9.9,1
60,6.8,0.22,1.44,4.9,0.092,150.0,123.0,0,3.03,0.46,8.6,1
61,6.0,0.19,1.56,12.4,0.048,170.0,147.0,3,3.3,0.36,8.9,1
62,7.0,0.47,0.35,1.1,0.035,146.8341224489796,151.0,1,3.02,0.34,10.5,0
63,6.6,0.38,0.9,4.6,0.044000000000000004,139.0,78.0,2,3.11,0.38,10.2,1
64,7.2,0.24,1.62,1.4,0.038,151.0,122.0,2,3.15,0.46,10.3,1
65,6.2,0.35,0.15,1.2,0.064,123.0,120.0,2,3.22,0.54,9.1,0
66,6.4,0.26,1.68,6.4,0.04,173.0,115.80207972270364,1,3.22,0.49,12.6,1
67,6.7,0.25,0.65,1.2,0.040999999999999995,179.0,174.0,1,3.14,0.42,9.8,0
68,6.7,0.23,2.48,2.1,0.046,194.0,96.0,2,3.33,0.64,10.7,1
69,7.4,0.24,1.45,10.1,0.05,123.0,105.0,0,3.13,0.35,9.5,0
73,8.6,0.23,2.76,1.0,0.054000000000000006,133.0,72.0,2,2.95,0.49,9.1,1
