,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind,kind_num,density_num
0,7.0,0.27,2.16,6.552,0.045,167.0,170.0,very high,3.0,0.45,8.8,6,white,0.0,4.0
1,6.3,0.3,2.04,1.6,0.049,134.0,132.0,medium,3.3,0.49,9.5,6,white,0.0,2.0
2,7.516,0.28,2.4,6.9,0.05,154.0,97.0,high,3.26,0.44,10.1,6,white,0.0,3.0
3,7.2,0.23,1.92,8.5,0.058,165.0,186.0,high,3.19,0.4,9.9,6,white,0.0,3.0
4,7.2,0.23,1.92,8.5,0.058,165.0,186.0,high,3.19,0.4,9.9,6,white,0.0,3.0
5,8.1,0.28,2.14,6.9,0.05,156.0,97.0,high,3.26,0.44,10.1,6,white,0.0,3.0
6,7.448,0.32,0.96,7.0,0.045,148.0,136.0,high,3.18,0.47,9.6,6,white,0.0,3.0
7,7.0,0.404,2.16,6.823,0.045,163.0,170.0,very high,3.0,0.45,8.8,6,white,0.0,4.0
8,6.3,0.3,2.04,1.6,0.049,132.0,132.0,medium,3.3,0.543,9.5,6,white,0.0,2.0
9,8.1,0.22,2.58,1.5,0.044,150.0,129.0,medium,3.22,0.45,11.0,6,white,0.0,2.0
10,8.1,0.27,2.05,1.45,0.033,119.0,63.0,low,2.99,0.56,12.0,5,white,0.0,1.0
11,8.6,0.23,2.0,4.2,0.035,117.0,109.0,medium,3.14,0.53,9.7,5,white,0.0,2.0
12,7.9,0.18,1.85,1.2,0.04,118.0,75.0,low,3.18,0.63,10.8,5,white,0.0,1.0
13,7.751,0.16,2.8,1.5,0.044,190.0,143.0,low,3.54,0.52,12.4,7,white,0.0,1.0
14,8.3,0.42,3.1,19.25,0.04,145.0,172.0,very high,2.98,0.67,9.7,5,white,0.0,4.0
15,6.6,0.17,2.66,1.5,0.032,166.0,112.0,low,3.25,0.598,11.4,7,white,0.0,1.0
16,6.3,0.48,0.24,1.1,0.046,150.0,99.0,medium,3.24,0.36,9.6,6,white,0.0,2.0
17,6.2,0.66,3.84,1.2,0.029,191.0,75.0,low,3.33,0.39,12.8,8,white,0.0,1.0
18,7.4,0.34,2.52,1.1,0.033,139.0,171.0,low,3.12,0.53,11.3,6,white,0.0,1.0
19,6.5,0.31,0.7,6.555,0.044,134.0,133.0,high,3.22,0.5,9.5,5,white,0.0,3.0
20,6.2,0.66,3.84,1.2,0.029,197.0,75.0,low,3.33,0.39,12.8,8,white,0.0,1.0
21,7.39,0.31,2.66,2.9,0.038,165.0,102.0,low,3.17,0.35,11.0,7,white,0.0,1.0
22,6.8,0.26,3.36,1.7,0.049,201.0,122.0,medium,3.47,0.48,10.5,8,white,0.0,2.0
23,7.6,0.67,0.7,1.5,0.074,133.0,168.0,medium,3.05,0.51,9.3,5,white,0.0,2.0
24,6.6,0.27,2.46,1.3,0.052,138.0,142.0,high,3.42,0.47,10.0,6,white,0.0,3.0
25,7.0,0.25,1.92,9.0,0.046,174.0,245.0,high,3.25,0.5,10.4,6,white,0.0,3.0
26,6.9,0.24,2.1,1.0,0.052,151.0,146.0,medium,3.45,0.44,10.0,6,white,0.0,2.0
27,7.472,0.28,2.34,8.7,0.051,156.0,141.0,high,3.38,0.53,10.5,6,white,0.0,3.0
28,7.4,0.27,2.88,1.1,0.047,135.0,132.0,low,3.19,0.49,11.6,6,white,0.0,1.0
29,7.436,0.32,2.52,2.0,0.033,177.0,114.0,low,3.1,0.71,12.3,7,white,0.0,1.0
30,7.715,0.24,2.34,10.4,0.044,136.0,142.0,very high,3.2,0.53,10.0,6,white,0.0,4.0
31,8.3,0.14,2.04,1.1,0.042,131.0,47.0,medium,3.47,0.4,10.2,6,white,0.0,2.0
32,7.4,0.25,2.16,2.05,0.05,155.0,100.0,low,3.19,0.44,10.8,6,white,0.0,1.0
33,7.453,0.12,2.04,1.5,0.045,165.0,117.0,medium,3.42,0.51,9.0,6,white,0.0,2.0
34,5.8,0.27,1.0,14.95,0.044,126.0,179.0,high,3.37,0.37,10.2,5,white,0.0,3.0
35,7.3,0.28,2.15,1.7,0.08,117.0,123.0,low,3.19,0.42,12.8,5,white,0.0,1.0
36,6.5,0.39,1.15,5.4,0.051,127.0,149.0,medium,3.24,0.35,10.0,5,white,0.0,2.0
37,7.0,0.33,1.92,1.2,0.053,156.0,138.0,low,3.13,0.28,11.2,6,white,0.0,1.0
38,7.3,0.24,1.95,17.95,0.057,143.0,149.0,very high,3.21,0.576,8.6,5,white,0.0,4.0
39,7.3,0.24,1.95,17.95,0.057,154.526,149.0,very high,3.21,0.36,8.6,5,white,0.0,4.0
40,6.7,0.23,2.34,2.5,0.068,181.0,158.0,medium,3.11,0.36,9.4,6,white,0.0,2.0
41,6.7,0.24,2.34,2.9,0.062,181.0,157.0,medium,3.1,0.34,9.4,6,white,0.0,2.0
42,7.0,0.31,1.56,7.4,0.069,144.0,160.0,high,3.13,0.46,9.8,6,white,0.0,3.0
43,6.6,0.24,1.62,1.4,0.057,153.0,152.0,medium,3.22,0.56,9.5,6,white,0.0,2.0
44,7.557,0.23,1.56,1.4,0.06,151.0,154.0,medium,3.24,0.56,9.5,6,white,0.0,2.0
45,7.4,0.18,2.17,1.4,0.058,178.0,167.0,medium,3.16,0.53,10.0,7,white,0.0,2.0
46,6.2,0.45,1.04,4.4,0.063,143.0,206.0,medium,3.27,0.52,9.8,4,white,0.0,2.0
47,6.2,0.46,1.25,4.4,0.066,162.0,207.0,medium,3.25,0.52,9.8,5,white,0.0,2.0
48,7.0,0.31,1.56,7.4,0.069,146.0,160.0,high,3.13,0.46,9.8,6,white,0.0,3.0
49,6.9,0.19,1.75,5.0,0.067,132.0,150.0,high,3.36,0.48,9.8,5,white,0.0,3.0
50,7.2,0.19,1.86,1.6,0.062,155.0,173.0,low,3.35,0.44,11.7,6,nan,,1.0
51,7.803,0.25,2.03,1.1,0.068,177.0,124.0,low,3.34,0.58,11.0,7,white,0.0,1.0
52,6.2,0.16,2.31,1.1,0.057,161.0,82.0,low,3.32,0.46,10.9,7,white,0.0,1.0
53,6.4,0.18,1.876,1.0,0.045,163.0,108.0,low,3.31,0.35,10.9,6,white,0.0,1.0
54,6.8,0.2,3.54,0.9,0.147,156.0,132.0,medium,3.05,0.38,9.1,6,white,0.0,2.0
55,6.9,0.25,2.1,1.3,0.039,149.0,191.0,low,3.13,0.602,11.0,6,white,0.0,1.0
56,7.2,0.21,2.04,11.9,0.043,151.0,213.0,high,3.09,0.5,9.6,6,white,0.0,3.0
57,6.0,0.19,1.56,12.4,0.048,168.0,147.0,very high,3.3,0.36,8.9,6,white,0.0,4.0
58,6.6,0.38,0.9,4.6,0.044,139.0,78.0,medium,3.11,0.38,10.2,6,white,0.0,2.0
59,7.4,0.2,2.16,1.2,0.038,164.0,111.0,medium,3.36,0.34,9.9,6,white,0.0,2.0
60,7.665,0.377,1.44,4.9,0.092,152.0,123.0,high,3.03,0.46,8.6,6,nan,,3.0
61,6.0,0.19,1.56,12.4,0.048,170.0,147.0,very high,3.3,0.566,8.9,6,white,0.0,4.0
62,7.0,0.47,0.35,6.327,0.035,117.0,151.0,low,3.02,0.34,10.5,5,white,0.0,1.0
63,6.6,0.38,0.9,4.6,0.044,143.0,78.0,medium,3.11,0.38,10.2,6,white,0.0,2.0
64,7.2,0.24,1.62,1.4,0.038,153.0,122.0,medium,3.15,0.46,10.3,6,white,0.0,2.0
65,6.2,0.35,0.15,1.2,0.064,129.0,120.0,medium,3.22,0.54,9.1,5,white,0.0,2.0
66,6.4,0.26,1.68,6.4,0.04,165.0,124.0,low,3.22,0.49,12.6,7,nan,,1.0
67,7.693,0.25,0.65,1.2,0.041,181.0,174.0,low,3.14,0.42,9.8,5,white,0.0,1.0
68,6.7,0.23,2.48,2.1,0.046,190.0,96.0,medium,3.33,0.64,10.7,8,white,0.0,2.0
69,7.4,0.35,1.45,10.1,0.05,121.0,105.0,high,3.13,0.35,9.5,5,white,0.0,3.0
70,6.2,0.27,2.58,7.8,0.056,170.0,244.0,high,3.1,0.51,9.0,6,white,0.0,3.0
71,6.8,0.3,1.15,4.6,0.061,152.5,238.5,high,3.32,0.6,9.5,5,white,0.0,3.0
72,6.0,0.27,1.4,4.8,0.063,131.0,201.0,high,3.69,0.71,10.0,5,white,0.0,3.0
73,7.79,0.23,2.76,1.0,0.054,127.0,72.0,medium,2.95,0.49,9.1,6,nan,,2.0
74,6.7,0.23,2.48,2.1,0.046,190.0,96.0,medium,3.33,0.562,10.7,8,white,0.0,2.0
75,7.4,0.24,1.45,10.1,0.05,121.0,105.0,high,3.13,0.35,9.5,5,white,0.0,3.0
76,7.1,0.18,2.52,1.4,0.043,169.0,87.0,low,3.26,0.588,12.7,7,white,0.0,1.0
77,7.0,0.32,2.38,1.3,0.042,162.0,69.0,low,3.31,0.65,12.0,7,white,0.0,1.0
78,7.4,0.18,1.5,8.8,0.064,126.0,103.0,high,2.94,0.56,9.3,5,white,0.0,3.0
79,6.7,0.54,1.4,5.4,0.06,119.0,105.0,high,3.27,0.37,9.0,5,white,0.0,3.0
80,6.8,0.22,1.86,1.4,0.053,154.0,114.0,medium,3.39,0.77,10.6,6,white,0.0,2.0
81,7.1,0.2,2.04,16.0,0.05,167.0,166.0,very high,3.21,0.6,9.2,6,white,0.0,4.0
82,7.1,0.34,1.0,6.1,0.063,149.0,164.0,medium,3.17,0.42,10.0,5,white,0.0,2.0
83,7.3,0.22,1.8,8.2,0.047,158.0,207.0,high,3.33,0.602,9.5,6,nan,,3.0
84,7.1,0.43,3.05,11.8,0.045,152.0,155.0,very high,3.11,0.45,8.7,5,white,0.0,4.0
85,7.1,0.44,3.72,11.8,0.044,172.0,152.0,very high,3.12,0.46,8.7,6,white,0.0,4.0
86,7.2,0.39,3.78,6.412,0.044,179.0,156.0,very high,3.09,0.44,8.7,6,white,0.0,4.0
87,6.8,0.25,1.86,13.3,0.05,187.0,202.0,very high,3.22,0.48,9.7,6,white,0.0,4.0
88,7.642,0.43,3.05,11.8,0.045,154.0,155.0,very high,3.11,0.45,8.7,5,white,0.0,4.0
89,7.1,0.44,3.72,11.8,0.044,170.0,152.0,very high,3.12,0.46,8.7,6,white,0.0,4.0
90,7.2,0.39,3.78,11.0,0.044,179.0,156.0,very high,3.09,0.44,8.7,6,white,0.0,4.0
91,6.1,0.27,2.15,7.5,0.049,167.0,243.0,high,3.12,0.47,9.0,5,white,0.0,3.0
92,6.9,0.24,2.31,1.7,0.035,189.0,136.0,low,3.26,0.4,12.6,7,white,0.0,1.0
93,6.9,0.21,2.31,1.8,0.034,190.0,136.0,low,3.25,0.41,12.6,7,white,0.0,1.0
94,7.5,0.17,2.24,1.7,0.04,193.0,148.0,low,3.21,0.44,11.5,7,white,0.0,1.0
95,7.1,0.26,1.74,12.4,0.044,182.0,240.0,high,3.04,0.562,9.2,6,white,0.0,3.0
96,7.663,0.34,3.96,15.9,0.046,148.0,164.0,very high,3.14,0.5,8.8,6,white,0.0,4.0
97,8.6,0.265,2.52,1.2,0.034,157.0,80.0,low,2.95,0.36,11.4,7,white,0.0,1.0
98,9.8,0.36,1.84,10.5,0.038,84.0,83.0,high,2.89,0.569,10.1,4,white,0.0,3.0
99,6.0,0.34,3.96,15.9,0.046,142.0,164.0,very high,3.14,0.5,8.8,6,white,0.0,4.0
100,7.4,0.25,1.85,13.5,0.06,152.0,192.0,very high,3.0,0.44,9.1,5,white,0.0,4.0
101,7.1,0.12,1.6,9.6,0.054,164.0,162.0,high,3.4,0.41,9.4,5,white,0.0,3.0
102,6.0,0.21,1.2,12.1,0.05,157.0,164.0,very high,3.34,0.39,9.4,5,white,0.0,4.0
103,7.5,0.305,2.0,18.9,0.059,146.0,170.0,nan,2.99,0.46,9.0,5,white,0.0,
104,7.4,0.25,1.85,13.5,0.06,152.0,192.0,very high,3.0,0.44,9.1,5,white,0.0,4.0
105,7.3,0.13,1.92,14.4,0.051,158.0,109.0,very high,3.2,0.589,9.2,6,white,0.0,4.0
106,7.251,0.12,1.6,9.6,0.054,168.0,162.0,high,3.4,0.41,9.4,5,white,0.0,3.0
107,7.1,0.401,2.1,16.5,0.04,178.0,171.0,very high,3.16,0.59,9.1,6,white,0.0,4.0
108,7.1,0.23,2.1,16.5,0.04,180.0,171.0,very high,3.16,0.59,9.1,6,white,0.0,4.0
109,6.9,0.33,1.4,1.3,0.051,135.0,187.0,medium,3.27,0.6,10.3,5,white,0.0,2.0
110,6.5,0.17,3.24,8.5,0.082,182.0,163.0,high,2.89,0.39,8.8,6,white,0.0,3.0
111,7.2,0.27,2.3,18.75,0.052,141.0,255.0,very high,3.04,0.52,8.9,5,white,0.0,4.0
112,7.2,0.31,2.5,13.3,0.056,166.0,195.0,very high,3.01,0.538,9.2,5,white,0.0,4.0
113,6.7,0.41,1.7,9.2,0.049,125.0,150.0,high,3.22,0.51,9.1,5,white,0.0,3.0
114,6.7,0.38,1.7,9.2,0.049,127.0,150.0,high,3.22,0.51,9.1,5,white,0.0,3.0
115,5.5,0.485,0.0,1.5,0.065,94.0,103.0,medium,3.63,0.4,9.7,4,white,0.0,2.0
116,6.0,0.31,1.44,3.3,0.041,151.0,143.0,nan,3.31,0.44,11.3,6,white,0.0,
117,7.0,0.14,2.4,1.7,0.035,130.0,85.0,low,3.19,0.602,11.8,6,white,0.0,1.0
118,7.49,0.31,2.5,13.3,0.056,172.0,195.0,very high,3.01,0.47,9.2,5,white,0.0,4.0
119,7.3,0.32,2.4,13.3,0.06,155.0,196.0,very high,3.04,0.5,9.2,5,white,0.0,4.0
120,7.311,0.36,0.2,5.7,0.046,121.0,87.0,medium,3.22,0.51,10.2,5,white,0.0,2.0
121,7.8,0.24,1.6,12.2,0.054,146.0,138.0,very high,3.01,0.54,8.8,5,white,0.0,4.0
122,7.4,0.16,1.55,6.85,0.059,135.0,131.0,high,3.29,0.34,9.7,5,white,0.0,3.0
123,6.9,0.19,1.68,5.0,0.058,136.0,146.0,high,3.29,0.36,9.1,6,white,0.0,3.0
124,6.4,0.13,2.82,1.6,0.092,158.0,158.0,medium,3.21,0.36,9.8,6,white,0.0,2.0
125,6.7,0.19,2.16,1.1,0.026,179.0,143.0,low,3.27,0.48,11.0,6,white,0.0,1.0
126,7.4,0.39,1.15,7.0,0.033,129.0,126.0,medium,3.14,0.42,10.5,5,white,0.0,2.0
127,6.5,0.24,2.24,7.6,0.038,184.0,203.0,high,3.45,0.54,9.7,7,white,0.0,3.0
128,6.1,0.3,3.92,2.8,0.044,185.0,179.0,medium,3.3,0.542,10.9,7,white,0.0,2.0
129,6.1,0.346,3.36,2.7,0.046,166.0,184.0,medium,3.31,0.57,10.9,6,white,0.0,2.0
130,5.7,0.26,1.25,10.4,0.02,105.0,57.0,medium,3.39,0.37,10.6,5,white,0.0,2.0
131,6.5,0.24,2.24,7.6,0.038,188.0,203.0,high,3.45,0.54,9.7,7,white,0.0,3.0
132,6.5,0.425,2.0,13.1,0.038,161.0,241.0,very high,3.23,0.599,9.0,5,white,0.0,4.0
133,6.6,0.24,1.35,15.8,0.035,148.0,188.0,very high,3.24,0.51,9.2,5,white,0.0,4.0
