sample,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,kind
0,7,0.27,2.16,20.7,0.045,167,170,very high,3,0.45,8.8,6,white
1,6.3,0.3,2.04,1.6,0.049,134,132,medium,3.3,0.49,9.5,6,white
2,,0.28,2.4,6.9,0.05,154,97,high,3.26,0.44,10.1,6,white
3,7.2,0.23,1.92,8.5,0.058,165,186,high,3.19,0.4,9.9,6,white
4,7.2,0.23,1.92,8.5,0.058,165,186,high,3.19,0.4,9.9,6,white
5,8.1,0.28,,6.9,0.05,156,97,high,3.26,0.44,10.1,6,white
6,,0.32,0.96,7,0.045,148,136,high,3.18,0.47,9.6,6,white
7,7,,2.16,20.7,0.045,163,170,very high,3,0.45,8.8,6,white
8,6.3,0.3,2.04,1.6,0.049,132,132,medium,3.3,,9.5,6,white
9,8.1,0.22,2.58,1.5,0.044,150,129,medium,3.22,0.45,11,6,white
10,8.1,0.27,2.05,1.45,0.033,119,63,low,2.99,0.56,12,5,white
11,8.6,0.23,2,4.2,0.035,117,109,medium,3.14,0.53,9.7,5,white
12,7.9,0.18,1.85,1.2,0.04,118,75,low,3.18,0.63,10.8,5,white
13,,0.16,2.8,1.5,0.044,190,143,low,3.54,0.52,12.4,7,white
14,8.3,0.42,3.1,19.25,0.04,145,172,very high,2.98,0.67,9.7,5,white
15,6.6,0.17,2.66,1.5,0.032,166,112,low,3.25,,11.4,7,white
16,6.3,0.48,0.24,1.1,0.046,150,99,medium,3.24,0.36,9.6,6,white
17,6.2,0.66,3.84,1.2,0.029,191,75,low,3.33,0.39,12.8,8,white
18,7.4,0.34,2.52,1.1,0.033,139,171,low,3.12,0.53,11.3,6,white
19,6.5,0.31,0.7,,0.044,134,133,high,3.22,0.5,9.5,5,white
20,6.2,0.66,3.84,1.2,0.029,197,75,low,3.33,0.39,12.8,8,white
21,,0.31,2.66,2.9,0.038,165,102,low,3.17,0.35,11,7,white
22,6.8,0.26,3.36,1.7,0.049,201,122,medium,3.47,0.48,10.5,8,white
